,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location
43,2023,EN,FT,Applied Scientist,110680,US,0,US
44,2023,SE,FT,Data Engineer,270703,US,0,US
45,2023,SE,FT,Data Engineer,221484,US,0,US
46,2023,SE,FT,Data Scientist,212750,US,100,US
47,2023,SE,FT,Data Scientist,185000,US,100,US
48,2023,SE,FT,Data Scientist,262000,US,100,US
49,2023,SE,FT,Data Scientist,245000,US,100,US
50,2023,SE,FT,Data Scientist,275300,US,100,US
51,2023,SE,FT,Data Scientist,183500,US,100,US
52,2023,SE,FT,Data Scientist,218500,US,100,US
53,2023,SE,FT,Data Scientist,199098,US,100,US
54,2023,SE,FT,Data Engineer,203300,US,100,US
55,2023,SE,FT,Data Engineer,123600,US,100,US
56,2023,SE,FT,Research Engineer,189110,US,0,US
57,2023,SE,FT,Research Engineer,139000,US,0,US
58,2023,EX,FT,Data Scientist,258750,US,0,US
59,2023,EX,FT,Data Scientist,185000,US,0,US
60,2023,SE,FT,Data Engineer,231500,US,100,US
61,2023,SE,FT,Data Engineer,166000,US,100,US
62,2023,SE,FT,Data Scientist,172500,US,100,US
63,2023,SE,FT,Data Scientist,110500,US,100,US
64,2023,SE,FT,Data Engineer,238000,US,0,US
65,2023,SE,FT,Data Engineer,176000,US,0,US
66,2023,SE,FT,Data Engineer,237000,US,100,US
67,2023,SE,FT,Data Engineer,201450,US,100,US
68,2023,SE,FT,Applied Scientist,309400,US,0,US
69,2023,SE,FT,Applied Scientist,159100,US,0,US
70,2023,SE,FT,Data Engineer,115000,US,0,US
71,2023,SE,FT,Data Engineer,81500,US,0,US
72,2023,SE,FT,Data Scientist,237000,US,100,US
73,2023,SE,FT,Data Scientist,201450,US,100,US
74,2023,SE,FT,Computer Vision Engineer,280000,US,0,US
75,2023,SE,FT,Computer Vision Engineer,210000,US,0,US
76,2023,SE,FT,Data Architect,280100,US,100,US
77,2023,SE,FT,Data Architect,168100,US,100,US
78,2023,SE,FT,Data Engineer,193500,US,100,US
79,2023,SE,FT,Data Engineer,139000,US,100,US
80,2023,MI,FT,Data Scientist,65062,HK,0,HK
81,2023,SE,FT,Machine Learning Engineer,150000,PT,100,US
82,2023,MI,FT,Applied Machine Learning Engineer,69751,IN,100,DE
83,2022,EN,FT,AI Developer,300000,IN,50,IN
84,2023,MI,FT,Machine Learning Engineer,96578,NL,100,NL
85,2023,SE,FT,Business Intelligence Engineer,185900,US,0,US
86,2023,SE,FT,Business Intelligence Engineer,129300,US,0,US
87,2023,SE,FT,Data Engineer,225000,US,100,US
88,2023,SE,FT,Data Engineer,175000,US,100,US
89,2023,SE,FT,Data Engineer,185000,US,0,US
90,2023,SE,FT,Data Engineer,140000,US,0,US
91,2023,SE,FT,Data Scientist,48289,ES,0,ES
92,2023,SE,FT,Data Scientist,38631,ES,0,ES
93,2023,SE,FT,Data Scientist,105000,US,0,US
94,2023,SE,FT,Data Scientist,70000,US,0,US
95,2023,EN,FT,Machine Learning Engineer,163196,US,0,US
96,2023,EN,FT,Machine Learning Engineer,145885,US,0,US
97,2023,SE,FT,Data Engineer,217000,US,100,US
98,2023,SE,FT,Data Engineer,185000,US,100,US
99,2023,SE,FT,Data Analyst,202800,US,0,US
100,2023,SE,FT,Data Analyst,104300,US,0,US
101,2023,SE,FT,Data Analyst,145000,US,0,US
102,2023,SE,FT,Data Analyst,65000,US,0,US
103,2023,SE,FT,Data Engineer,165000,US,0,US
104,2023,SE,FT,Data Engineer,132300,US,0,US
105,2023,SE,FT,Data Engineer,179170,US,0,US
106,2023,SE,FT,Data Engineer,94300,US,0,US
107,2023,SE,FT,Analytics Engineer,152500,US,0,US
108,2023,SE,FT,Analytics Engineer,116450,US,0,US
109,2023,SE,FT,Data Engineer,247300,US,0,US
110,2023,SE,FT,Data Engineer,133800,US,0,US
111,2023,SE,FT,Research Engineer,203000,US,0,US
112,2023,SE,FT,Research Engineer,133000,US,0,US
113,2023,EN,FT,Research Scientist,220000,US,50,US
114,2022,EN,FT,Machine Learning Engineer,56536,CH,100,CH
115,2023,SE,FT,Data Scientist,150000,US,0,US
116,2023,SE,FT,Data Scientist,120000,US,0,US
117,2023,SE,FT,Analytics Engineer,289800,US,0,US
118,2023,SE,FT,Analytics Engineer,214000,US,0,US
119,2023,SE,FT,Analytics Engineer,179820,US,0,US
120,2023,SE,FT,Analytics Engineer,143860,US,0,US
121,2023,SE,FT,Machine Learning Engineer,283200,US,100,US
122,2023,SE,FT,Machine Learning Engineer,188800,US,100,US
123,2023,SE,FT,Analytics Engineer,289800,US,0,US
124,2023,SE,FT,Analytics Engineer,214200,US,0,US
125,2023,SE,FT,Data Engineer,185900,US,0,US
126,2023,SE,FT,Data Engineer,129300,US,0,US
127,2023,SE,FT,Data Engineer,252000,US,0,US
128,2023,SE,FT,Data Engineer,129000,US,0,US
129,2023,MI,FT,Data Analytics Manager,155000,US,0,US
130,2023,MI,FT,Data Analytics Manager,140000,US,0,US
131,2023,SE,FT,Data Engineer,161800,US,100,US
132,2023,SE,FT,Data Engineer,141600,US,100,US
133,2023,SE,FT,Machine Learning Engineer,342300,US,0,US
134,2023,SE,FT,Machine Learning Engineer,176100,US,0,US
135,2023,MI,FT,Data Engineer,100000,US,100,US
136,2023,MI,FT,Data Engineer,70000,US,100,US
137,2023,EN,FT,Data Engineer,85000,US,0,US
138,2023,EN,FT,Data Engineer,65000,US,0,US
139,2023,SE,FT,Data Scientist,138784,US,100,US
140,2023,SE,FT,Data Scientist,83270,US,100,US
141,2023,EN,FT,Data Analyst,75000,US,0,US
142,2023,EN,FT,Data Analyst,70000,US,0,US
143,2023,SE,FT,Data Analyst,204500,US,0,US
144,2023,SE,FT,Data Analyst,138900,US,0,US
145,2023,SE,FT,Machine Learning Engineer,318300,US,100,US
146,2023,SE,FT,Machine Learning Engineer,212200,US,100,US
147,2023,SE,FT,Data Engineer,95000,US,100,US
148,2023,SE,FT,Data Engineer,75000,US,100,US
149,2023,SE,FT,Data Scientist,195000,US,0,US
150,2023,SE,FT,Data Scientist,160000,US,0,US
151,2023,SE,FT,Analytics Engineer,230000,US,0,US
152,2023,SE,FT,Analytics Engineer,143200,US,0,US
153,2023,MI,FT,Data Engineer,100000,US,100,US
154,2023,MI,FT,Data Engineer,70000,US,100,US
155,2023,MI,FT,Business Data Analyst,105000,US,50,US
156,2023,MI,FT,Applied Data Scientist,20670,IN,100,IN
157,2023,MI,FT,Data Analyst,46178,GB,0,GB
158,2023,MI,FT,Data Analyst,42533,GB,0,GB
159,2023,SE,FT,Data Engineer,145000,US,0,US
160,2023,SE,FT,Data Engineer,115000,US,0,US
161,2023,SE,FT,Data Analyst,168400,US,0,US
162,2023,SE,FT,Data Analyst,105200,US,0,US
163,2023,SE,FT,Applied Scientist,309400,US,0,US
164,2023,SE,FT,Applied Scientist,159100,US,0,US
165,2023,SE,FT,Machine Learning Engineer,190000,US,0,US
166,2023,SE,FT,Machine Learning Engineer,150000,US,0,US
167,2023,MI,FT,Data Engineer,162500,US,0,US
168,2023,MI,FT,Data Engineer,130000,US,0,US
169,2023,SE,FT,Analytics Engineer,150000,US,100,US
170,2023,SE,FT,Analytics Engineer,120000,US,100,US
171,2023,SE,FT,Data Engineer,145000,US,0,US
172,2023,SE,FT,Data Engineer,120000,US,0,US
173,2023,SE,FT,Applied Scientist,222200,US,0,US
174,2023,SE,FT,Applied Scientist,136000,US,0,US
175,2023,SE,FT,Data Analyst,54685,CF,100,CF
176,2023,SE,FT,Data Analyst,42533,CF,100,CF
177,2023,SE,FT,Data Engineer,241000,US,0,US
178,2023,SE,FT,Data Engineer,155000,US,0,US
179,2023,SE,FT,Data Engineer,220000,US,100,US
180,2023,SE,FT,Data Engineer,190000,US,100,US
181,2023,MI,FT,Data Scientist,66837,GB,0,GB
182,2023,MI,FT,Data Scientist,54685,GB,0,GB
183,2020,EX,FT,Staff Data Analyst,15000,NG,0,CA
184,2023,MI,FT,ETL Engineer,85066,GB,100,GB
185,2023,MI,FT,ETL Engineer,57723,GB,100,GB
186,2023,EN,FT,Data Analyst,85000,US,100,US
187,2023,EN,FT,Data Analyst,75000,US,100,US
188,2023,SE,FT,Data Engineer,160000,US,0,US
189,2023,SE,FT,Data Engineer,140000,US,0,US
190,2023,MI,FT,Machine Learning Engineer,300000,US,0,US
191,2023,MI,FT,Machine Learning Engineer,250000,US,0,US
192,2023,SE,FT,Data Scientist,228000,US,0,US
193,2023,SE,FT,Data Scientist,186000,US,0,US
194,2023,SE,FT,Data Scientist,190000,US,0,US
195,2023,SE,FT,Data Scientist,170000,US,0,US
196,2023,MI,FT,Research Engineer,230000,US,0,US
197,2023,MI,FT,Research Engineer,200000,US,0,US
198,2023,SE,FT,Data Architect,180000,US,100,US
199,2023,SE,FT,Data Architect,115000,US,100,US
200,2023,SE,FT,Data Architect,200000,US,100,US
201,2023,SE,FT,Data Architect,115000,US,100,US
202,2023,SE,FT,Data DevOps Engineer,53654,FR,50,FR
203,2023,EX,FT,Data Engineer,220000,US,0,US
204,2023,EX,FT,Data Engineer,205000,US,0,US
205,2023,MI,FT,Data Engineer,180000,US,0,US
206,2023,MI,FT,Data Engineer,130000,US,0,US
207,2023,SE,FT,Data Engineer,200000,US,100,US
208,2023,SE,FT,Data Engineer,150000,US,100,US
209,2023,SE,FT,Computer Vision Engineer,215000,US,0,US
210,2023,SE,FT,Computer Vision Engineer,170000,US,0,US
211,2023,SE,FT,Machine Learning Engineer,247500,US,0,US
212,2023,SE,FT,Machine Learning Engineer,172200,US,0,US
213,2023,SE,FT,Data Scientist,224000,CA,0,CA
214,2023,SE,FT,Data Scientist,176000,CA,0,CA
215,2023,SE,FT,Data Analyst,120000,US,100,US
216,2023,SE,FT,Data Analyst,75000,US,100,US
217,2023,EN,FT,Data Engineer,17022,IN,100,IN
218,2023,SE,FT,Applied Data Scientist,68318,AU,100,FI
219,2023,MI,FT,AI Developer,75020,FI,0,FI
220,2023,SE,FT,Data Analyst,140000,US,0,US
221,2023,SE,FT,Data Analyst,120000,US,0,US
222,2023,SE,FT,Data Engineer,128000,US,0,US
223,2023,SE,FT,Data Engineer,81500,US,0,US
224,2023,SE,FT,Data Engineer,145000,US,0,US
225,2023,SE,FT,Data Engineer,115000,US,0,US
226,2023,SE,FT,Data Engineer,185000,US,0,US
227,2023,SE,FT,Data Engineer,140000,US,0,US
228,2023,EX,FT,Head of Data,329500,US,0,US
229,2023,EX,FT,Head of Data,269600,US,0,US
230,2023,SE,FT,Data Quality Analyst,100000,US,0,US
231,2023,SE,FT,Data Quality Analyst,80000,US,0,US
232,2023,SE,FT,Data Scientist,250000,US,0,US
233,2023,SE,FT,Data Scientist,162500,US,0,US
234,2023,MI,FT,AI Developer,200000,US,100,US
235,2023,SE,FT,Data Engineer,145000,US,0,US
236,2023,SE,FT,Data Engineer,100000,US,0,US
237,2023,EX,FT,Data Engineer,145000,US,0,US
238,2023,EX,FT,Data Engineer,115000,US,0,US
239,2023,SE,FT,Data Scientist,203500,US,0,US
240,2023,SE,FT,Data Scientist,152000,US,0,US
241,2023,SE,FT,Data Scientist,239000,US,0,US
242,2023,SE,FT,Data Scientist,122900,US,0,US
243,2023,SE,FT,Data Scientist,237000,US,0,US
244,2023,SE,FT,Data Scientist,145000,US,0,US
245,2023,SE,FT,Data Science Manager,191765,US,0,US
246,2023,SE,FT,Data Science Manager,134236,US,0,US
247,2023,SE,FT,Analytics Engineer,190000,US,100,US
248,2023,SE,FT,Analytics Engineer,112000,US,100,US
249,2022,SE,FT,Data Scientist,88256,ES,100,GB
250,2023,EN,FT,Data Engineer,85000,US,0,US
251,2023,EN,FT,Data Engineer,65000,US,0,US
252,2023,SE,FT,Data Analyst,135000,US,0,US
253,2023,SE,FT,Data Analyst,105500,US,0,US
254,2023,SE,FT,Research Engineer,293000,US,0,US
255,2023,SE,FT,Research Engineer,185000,US,0,US
256,2023,SE,FT,Data Analyst,80000,US,0,US
257,2023,SE,FT,Data Analyst,70000,US,0,US
258,2023,SE,FT,Data Engineer,220000,US,100,US
259,2023,SE,FT,Data Engineer,160000,US,100,US
260,2023,SE,FT,Data Scientist,175000,US,100,US
261,2023,SE,FT,Data Scientist,145000,US,100,US
262,2023,SE,FT,Data Analyst,200000,US,0,US
263,2023,SE,FT,Data Analyst,148500,US,0,US
264,2023,SE,FT,Data Scientist,48289,ES,0,ES
265,2023,SE,FT,Data Scientist,38631,ES,0,ES
266,2023,SE,FT,Data Engineer,240500,US,0,US
267,2023,SE,FT,Data Engineer,123700,US,0,US
268,2023,SE,FT,Analytics Engineer,152900,US,100,US
269,2023,SE,FT,Analytics Engineer,117100,US,100,US
270,2023,SE,FT,Analytics Engineer,173000,US,100,US
271,2023,SE,FT,Analytics Engineer,113000,US,100,US
272,2023,SE,FT,Applied Scientist,260000,US,0,US
273,2023,SE,FT,Applied Scientist,136000,US,0,US
274,2023,EX,FT,Data Engineer,175000,US,0,US
275,2023,EX,FT,Data Engineer,110000,US,0,US
276,2023,SE,FT,Applied Scientist,260000,US,0,US
277,2023,SE,FT,Applied Scientist,136000,US,0,US
278,2023,SE,FT,Research Scientist,130000,US,100,US
279,2023,SE,FT,Research Scientist,110000,US,100,US
280,2023,SE,FT,Applied Scientist,205000,US,100,US
281,2023,SE,FT,Applied Scientist,184000,US,100,US
282,2023,SE,FT,Data Analyst,149500,US,100,US
283,2023,SE,FT,Data Analyst,127075,US,100,US
284,2023,SE,FT,Data Scientist,195000,US,0,US
285,2023,SE,FT,Data Scientist,160000,US,0,US
286,2023,SE,FT,Data Engineer,219535,US,100,US
287,2023,SE,FT,Data Engineer,146115,US,100,US
288,2023,SE,FT,Data Scientist,170000,US,0,US
289,2023,SE,FT,Data Scientist,135000,US,0,US
290,2023,SE,FT,Data Scientist,175000,US,100,US
291,2023,SE,FT,Data Scientist,145000,US,100,US
292,2023,SE,FT,Data Scientist,199000,US,0,US
293,2023,SE,FT,Data Scientist,162000,US,0,US
294,2023,SE,FT,Applied Scientist,222200,US,0,US
295,2023,SE,FT,Applied Scientist,136000,US,0,US
296,2023,EX,FT,Analytics Engineer,221000,US,100,US
297,2023,EX,FT,Analytics Engineer,153000,US,100,US
298,2023,SE,FT,Data Analyst,187000,US,0,US
299,2023,SE,FT,Data Analyst,128000,US,0,US
300,2023,SE,FT,Research Scientist,210000,US,0,US
301,2023,SE,FT,Research Scientist,136000,US,0,US
302,2023,SE,FT,Data Scientist,175000,US,100,US
303,2023,SE,FT,Data Scientist,100000,US,100,US
304,2023,SE,FT,Data Engineer,179000,US,0,US
305,2023,SE,FT,Data Engineer,109000,US,0,US
306,2023,SE,FT,Data Scientist,245000,US,0,US
307,2023,SE,FT,Data Scientist,180000,US,0,US
308,2023,SE,FT,Data Analyst,142000,US,100,US
309,2023,SE,FT,Data Analyst,75000,US,100,US
310,2023,SE,FT,Data Manager,198800,US,0,US
311,2023,SE,FT,Data Manager,105200,US,0,US
312,2023,SE,FT,Data Analyst,125000,US,100,US
313,2023,SE,FT,Data Analyst,112000,US,100,US
314,2023,SE,FT,Data Scientist,210000,US,0,US
315,2023,SE,FT,Data Scientist,155000,US,0,US
316,2023,SE,FT,Data Manager,115000,US,100,US
317,2023,SE,FT,Data Manager,86000,US,100,US
318,2023,SE,FT,Data Scientist,165000,US,0,US
319,2023,SE,FT,Data Scientist,140000,US,0,US
320,2023,SE,FT,Data Analyst,139000,US,0,US
321,2023,SE,FT,Data Analyst,106000,US,0,US
322,2023,EN,FT,Data Analyst,40663,CA,0,CA
323,2022,SE,FT,AI Developer,275000,CA,0,CA
324,2023,SE,FL,Machine Learning Researcher,50000,UA,50,UA
325,2023,MI,FT,Machine Learning Engineer,280700,US,100,US
326,2023,MI,FT,Machine Learning Engineer,150450,US,100,US
327,2023,EN,FT,Data Scientist,51753,CA,100,CA
328,2023,SE,FT,Data Architect,250500,US,0,US
329,2023,SE,FT,Data Architect,159500,US,0,US
330,2023,SE,FT,Data Engineer,145000,US,0,US
331,2023,SE,FT,Data Engineer,115000,US,0,US
332,2023,SE,FT,Data Analyst,140000,US,0,US
333,2023,SE,FT,Data Analyst,120000,US,0,US
334,2023,EN,FT,Data Scientist,130001,US,100,US
335,2023,EN,FT,Data Scientist,71907,US,100,US
336,2023,MI,FT,Data Scientist,93918,US,100,US
337,2023,MI,FT,Data Scientist,51962,US,100,US
338,2023,SE,FT,Data Analyst,175000,CA,100,CA
339,2023,SE,FT,Data Analyst,135000,CA,100,CA
340,2023,EN,FT,Data Engineer,85000,US,0,US
341,2023,EN,FT,Data Engineer,65000,US,0,US
342,2023,SE,FT,Machine Learning Engineer,257000,US,0,US
343,2023,SE,FT,Machine Learning Engineer,147000,US,0,US
344,2023,SE,FT,Data Engineer,222000,US,100,US
345,2023,SE,FT,Data Engineer,175000,US,100,US
346,2023,SE,FT,Data Scientist,203000,US,100,US
347,2023,SE,FT,Data Scientist,133200,US,100,US
348,2023,EN,FT,Applied Scientist,213660,US,0,US
349,2023,EN,FT,Applied Scientist,130760,US,0,US
350,2023,SE,FT,Data Engineer,221000,US,0,US
351,2023,SE,FT,Data Engineer,147000,US,0,US
352,2023,SE,FT,Data Quality Analyst,100000,US,0,US
353,2023,SE,FT,Data Quality Analyst,80000,US,0,US
354,2023,SE,FT,Data Scientist,185900,US,0,US
355,2023,SE,FT,Data Scientist,129300,US,0,US
356,2023,SE,FT,Data Scientist,238000,US,100,US
357,2023,SE,FT,Data Scientist,156000,US,100,US
358,2023,SE,FT,Machine Learning Engineer,304000,US,100,US
359,2023,SE,FT,Machine Learning Engineer,199000,US,100,US
360,2023,MI,FT,Big Data Engineer,48289,ES,100,ES
361,2023,SE,FT,Data Engineer,150000,US,0,US
362,2023,SE,FT,Data Engineer,130000,US,0,US
363,2023,SE,FT,Data Scientist,140000,US,100,US
364,2023,SE,FT,Data Scientist,110000,US,100,US
365,2023,MI,FT,Data Analyst,90000,US,0,US
366,2023,MI,FT,Data Analyst,75000,US,0,US
367,2023,MI,FT,Research Scientist,195895,GB,0,GB
368,2023,MI,FT,Research Scientist,102772,GB,0,GB
369,2023,SE,FT,Data Engineer,240000,US,0,US
370,2023,SE,FT,Data Engineer,183600,US,0,US
371,2023,MI,FT,Data Specialist,130000,US,0,US
372,2023,MI,FT,Data Specialist,80000,US,0,US
373,2023,SE,FT,Data Engineer,250000,US,0,US
374,2023,SE,FT,Data Engineer,150000,US,0,US
375,2023,SE,FT,Data Analytics Manager,160000,US,100,US
376,2023,SE,FT,Data Analytics Manager,120000,US,100,US
377,2023,SE,FT,Machine Learning Engineer,289076,US,0,US
378,2023,SE,FT,Machine Learning Engineer,202353,US,0,US
379,2023,SE,FT,Data Engineer,145000,US,0,US
380,2023,SE,FT,Data Engineer,120000,US,0,US
381,2023,SE,FT,Data Analyst,155000,US,0,US
382,2023,SE,FT,Data Analyst,106000,US,0,US
383,2023,SE,FT,Data Engineer,200000,US,0,US
384,2023,SE,FT,Data Engineer,160000,US,0,US
385,2023,SE,FT,Data Scientist,157750,US,100,US
386,2023,SE,FT,Data Scientist,104650,US,100,US
387,2023,MI,FT,Data Scientist,180000,US,100,US
388,2023,MI,FT,Data Scientist,140000,US,100,US
389,2023,EX,FT,Data Scientist,200000,US,0,US
390,2023,EX,FT,Data Scientist,145000,US,0,US
391,2023,MI,FT,Lead Data Analyst,68000,US,0,US
392,2023,EN,FT,BI Data Engineer,60000,US,100,US
393,2023,SE,FT,Data Scientist,48289,ES,0,ES
394,2023,SE,FT,Data Scientist,38631,ES,0,ES
395,2023,EN,FT,Data Engineer,85000,US,0,US
396,2023,EN,FT,Data Engineer,65000,US,0,US
397,2023,MI,FT,Data Engineer,125000,US,0,US
398,2023,MI,FT,Data Engineer,90000,US,0,US
399,2023,SE,FT,Data Analyst,105000,US,100,US
400,2023,SE,FT,Data Analyst,90000,US,100,US
401,2023,SE,FT,Analytics Engineer,179820,US,0,US
402,2023,SE,FT,Analytics Engineer,143860,US,0,US
403,2023,SE,FT,Data Analyst,135000,US,0,US
404,2023,SE,FT,Data Analyst,105500,US,0,US
405,2023,EN,FT,Research Engineer,155000,US,0,US
406,2023,EN,FT,Research Engineer,125000,US,0,US
407,2023,SE,FT,Machine Learning Engineer,241000,US,0,US
408,2023,SE,FT,Machine Learning Engineer,181000,US,0,US
409,2023,SE,FT,Data Scientist,252000,US,0,US
410,2023,SE,FT,Data Scientist,154000,US,0,US
411,2023,EX,FT,Data Architect,180000,US,0,US
412,2023,EX,FT,Data Architect,155000,US,0,US
413,2023,SE,FT,Data Scientist,191765,US,0,US
414,2023,SE,FT,Data Scientist,134236,US,0,US
415,2023,SE,FT,Data Scientist,175000,US,100,US
416,2023,SE,FT,Data Scientist,145000,US,100,US
417,2023,SE,FT,Data Scientist,237000,US,100,US
418,2023,SE,FT,Data Scientist,145000,US,100,US
419,2023,EN,FT,Research Engineer,155000,US,0,US
420,2023,EN,FT,Research Engineer,125000,US,0,US
421,2023,SE,FT,Data Analyst,80000,US,0,US
422,2023,SE,FT,Data Analyst,70000,US,0,US
423,2023,SE,FT,Data Engineer,146000,US,0,US
424,2023,SE,FT,Data Engineer,75000,US,0,US
425,2023,EN,FT,Data Analyst,64200,US,100,US
426,2023,EN,FT,Data Analyst,56100,US,100,US
427,2023,SE,FT,Machine Learning Engineer,170000,US,0,US
428,2023,SE,FT,Machine Learning Engineer,130000,US,0,US
429,2023,SE,FT,Data Analyst,208450,US,100,US
430,2023,SE,FT,Data Analyst,170550,US,100,US
431,2023,SE,FT,Machine Learning Engineer,125000,US,0,US
432,2023,SE,FT,Machine Learning Engineer,100000,US,0,US
433,2023,MI,FT,Data Manager,135000,US,0,US
434,2023,MI,FT,Data Manager,120000,US,0,US
435,2023,SE,FT,Data Scientist,200000,US,100,US
436,2023,SE,FT,Data Scientist,170000,US,100,US
437,2023,SE,FT,Data Scientist,171250,IE,0,IE
438,2023,SE,FT,Data Scientist,113750,IE,0,IE
439,2023,SE,FT,Applied Scientist,222200,US,0,US
440,2023,SE,FT,Applied Scientist,136000,US,0,US
441,2023,SE,FT,Applied Scientist,260000,US,0,US
442,2023,SE,FT,Applied Scientist,136000,US,0,US
443,2023,SE,FT,Data Analyst,153600,US,0,US
444,2023,SE,FT,Data Analyst,100500,US,0,US
445,2023,SE,FT,Applied Scientist,205000,US,100,US
446,2023,SE,FT,Applied Scientist,184000,US,100,US
447,2023,SE,FT,Machine Learning Engineer,115000,CA,100,CA
448,2023,SE,FT,Machine Learning Engineer,95000,CA,100,CA
449,2023,MI,FT,Data Analyst,182500,US,0,US
450,2023,MI,FT,Data Analyst,121500,US,0,US
451,2023,SE,FT,Data Engineer,203100,US,0,US
452,2023,SE,FT,Data Engineer,114500,US,0,US
453,2023,MI,FT,Data Analyst,72914,GB,0,GB
454,2023,MI,FT,Data Analyst,54685,GB,0,GB
455,2023,SE,FT,Data Engineer,252000,US,0,US
456,2023,SE,FT,Data Engineer,129000,US,0,US
457,2023,EN,FT,Data Engineer,92700,US,100,US
458,2023,EN,FT,Data Engineer,61800,US,100,US
459,2023,SE,FT,Data Engineer,160000,US,100,US
460,2023,SE,FT,Data Engineer,130000,US,100,US
461,2023,SE,FT,Data Scientist,258000,CA,0,CA
462,2023,SE,FT,Data Scientist,190000,CA,0,CA
463,2023,SE,FT,Data Scientist,170000,US,0,US
464,2023,SE,FT,Data Scientist,135000,US,0,US
465,2023,MI,FT,Data Architect,167500,US,0,US
466,2023,MI,FT,Data Architect,106500,US,0,US
467,2023,SE,FT,Data Scientist,195000,US,0,US
468,2023,SE,FT,Data Scientist,160000,US,0,US
469,2023,MI,FT,Data Engineer,146000,US,0,US
470,2023,MI,FT,Data Engineer,75000,US,0,US
471,2022,EN,FT,Data Engineer,59888,NL,100,NL
472,2023,EX,FT,Data Engineer,286000,US,100,US
473,2023,EX,FT,Data Engineer,207000,US,100,US
474,2023,SE,FT,Data Analyst,100000,US,100,US
475,2023,SE,FT,Data Analyst,80000,US,100,US
476,2023,SE,FT,Data Engineer,223250,US,0,US
477,2023,SE,FT,Data Engineer,178600,US,0,US
478,2023,EX,FT,Director of Data Science,353200,US,0,US
479,2023,EX,FT,Director of Data Science,249300,US,0,US
480,2023,MI,FT,Machine Learning Scientist,230000,US,0,US
481,2023,MI,FT,Machine Learning Scientist,220000,US,0,US
482,2023,SE,FT,Data Scientist,297300,US,100,US
483,2023,SE,FT,Data Scientist,198200,US,100,US
484,2023,MI,FT,Research Scientist,210000,US,100,US
485,2023,MI,FT,Research Scientist,151800,US,100,US
486,2023,SE,FT,Data Scientist,200000,US,100,US
487,2023,SE,FT,Data Scientist,170000,US,100,US
488,2023,SE,FT,Data Scientist,317070,US,0,US
489,2023,SE,FT,Data Scientist,170730,US,0,US
490,2023,SE,FT,Data Engineer,128000,US,0,US
491,2023,SE,FT,Data Engineer,81500,US,0,US
492,2023,EN,FT,Business Data Analyst,21461,ES,0,ES
493,2023,SE,FT,AI Developer,108000,UA,0,UA
494,2023,SE,FT,AI Developer,60000,UA,0,UA
495,2023,MI,FT,MLOps Engineer,134000,US,100,US
496,2023,MI,FT,MLOps Engineer,124000,US,100,US
497,2023,SE,FT,Data Engineer,171250,US,0,US
